id_istituto,codice_istituto,nome_istituto,tipo_istituto,latitudine,longitude,id_provveditorato,nome_provveditorato,indirizzo,telefono
MII177384,FF65,Lauro,Istituto custodia attenuata per madri,40.8799681,14.629467,6,Campania,Strada Provinciale Bosagro n. snc - 83023 Lauro,+39 081 8240430/8240444
MII181417,CC26,Tolmezzo,Casa circondariale,46.418570686533315,13.018053166820799,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Paluzza n.77 - 33028 Tolmezzo,+39   0433 44900
MII173063,KK09,Caltanissetta,Casa circondariale,37.494382965222556,14.05615604195194,9,Sicilia,Via Messina n. 94 - 93100 Caltanissetta,+39 0934 584500
MII158901,CC05,Belluno,Casa circondariale,46.1397378,12.2192968,2,"Veneto, Trentino, Friuli Venezia Giulia",Via Baldenich n.11 - 32100 Belluno,+39  0437 930810
MII173341,HH04,Cosenza,Casa circondariale,39.3099931,16.2501929,8,Calabria,Viale Giacomo Mancini n.320 - 87100 Cosenza,+39 0984 826001
MII173265,HH12,Castrovillari,Casa circondariale,39.83602485,16.2210616,8,Calabria,Via Sergio Cosmai n 1 - 87012 Castrovillari,+39   0981 483127
MII178700,AA19,Novara,Casa circondariale,45.4353796,8.63788811,0,"Val D'Aosta, Piemonte, Liguria",Via Sforzesca n.49 - 28100 Novara,+39    0321 483535
MII172344,BB50,Bollate,Casa di reclusione,45.543835,9.1177075,1,Lombardia,Via Cristina Belgioioso n.120 20157 - Milano,+39 02 382067000
MII181691,FF24,Vallo della Lucania,Casa circondariale  Alfredo Paragano,40.229704,15.26576,6,Campania,A.R. Passaro n.39 - 84078  Vallo della Lucania,+39   0974 4268
MII160204,FF08,Benevento,Casa circondariale  Michele Gaglione,41.1295587,14.7824639,6,Campania,Via Ermete Novelli n.11 -  82100 Benevento,+39  0824 53451
MII181934,EE09,Viterbo,Casa circondariale  N.C.   Nicandro Izzo,42.4525651,12.09423595,5,"Lazio, Abruzzo, Molise",Strada SS. Salvatore n. 14/b - 01100 Viterbo,+39  0761 24401
MII172827,BB06,Bergamo,Casa circondariale,45.7566557,9.7542192,1,Lombardia,via Monte Gleno n.61 - 24125 Bergamo,+39  035 294423
MII176771,LL05,Isili,Casa di reclusione,39.7404048,9.1085903,10,Sardegna,Localit&agrave; Sarcidano n.SN - 08033 Isili,+39  0782 802045
MII159060,FF18,Arienzo,Casa di reclusione  Gennaro De Angelis,41.0242566,14.4970522,6,Campania,Via Nazionale Appia Km 230+600 n.7 - 81021 Arienzo,+39 0823 805516
MII152284,AA02,Genova Marassi,Casa circondariale,44.4179134,8.9511004,0,"Val D'Aosta, Piemonte, Liguria",Piazzale Marassi n.2 - 16139 Genova,+39  010 84051
MII176403,BB09,Forlì,Casa circondariale,44.2226017,12.0409384,3,"Emilia Romagna, Marche",Via della Rocca n.4/6 - 47121 Forl&igrave;,+39 0543 33208
MII182339,BB29,Reggio Emilia,Istituti di pena,44.6639363,10.63973152,3,"Emilia Romagna, Marche",Via Settembrini n.8 - 42123 Reggio Emilia,+39  0522 331666
MII180001,BB15,Rimini,Casa circondariale,44.0593886,12.5684371,3,"Emilia Romagna, Marche",Via Santa Cristina n.19 - 47900 Rimini,+39  0541 751306
MII174686,BB08,Ferrara,Casa circondariale,44.8423466,11.5822881,3,"Emilia Romagna, Marche",Via Arginone n.327 - 44122 Ferrara,+39 053 2250011
MII179842,BB04,Piacenza,Casa circondariale,45.0534751,9.6947461,3,"Emilia Romagna, Marche",Via delle Novate n.65 - 29122 Piacenza,+39  0523 592384
MII172508,BB03,Bologna,Casa circondariale,44.4936714,11.3430347,3,"Emilia Romagna, Marche",Via del Gomito n. 2 - 40127 Bologna,+39 051 320512
MII179981,BB13,Ravenna,Casa circondariale,44.41458045,12.19213791,3,"Emilia Romagna, Marche",Via Port'Aurea n.57 - 48121 Ravenna,+39  0544 36836 - 36885 - 36978
MII179364,BB30,Parma,Casa di reclusione,44.8167494,10.36522212,3,"Emilia Romagna, Marche",Strada Burla n.57 - 43122 Parma,+39 0521 7089
MII178638,BB10,Modena,Casa circondariale,44.67086,10.9190707,3,"Emilia Romagna, Marche",Strada Sant'Anna n.370 - 41122 Modena,+39  059 450800
MII181125,KK08,Siracusa,Casa circondariale,37.03487355,15.16261221,9,Sicilia,Via Monasteri n.20 - 96100  Siracusa,+39 0931 717206
