prison_id,institute_name,institute_type,posti_regolamentari,posti_non_disponibili,totale_detenuti,dati_aggiornati_al,asl,nome_responsabile_asl,cognome_responsabile_asl,nome_direttore,cognome_direttore,ruolo_direttore,polizia_penitenziaria_effettivi,polizia_penitenziaria_previsti,amministrativi_effettivi,amministrativi_previsti,educatori_effettivi,educatori_previsti,personale_polizia_aggiornato_a,personale_amministrativo_aggiornato_al,data_extracted_on,id,nome,tipo,posti_occupati,posti_aggiornati_al,personale_polizia_effettivi,personale_polizia_previsti,personale_amministrativi_effettivi,personale_amministrativi_previsti,personale_educatori_effettivi,personale_educatori_previsti
MII158935,Alghero,Casa di reclusione - Giuseppe Tomasiello,156,0,92.0,17/06/2024,numero 1,Walter,Sarais,Tullia,Carra,Titolare,69.0,90.0,13.0,16.0,4.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179958,Prato,Casa circondariale,589,17,597.0,17/06/2024,n 4 Prato,Antonella,Mnfredi,Domenico,Ciaburri,Titolare,235.0,310.0,27.0,35.0,7.0,9.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII158945,Arbus,Casa di reclusione - località Is Arenas,176,50,90.0,17/06/2024,n.6,Aldo,Casadio,Maria Teresa,Errico,Titolare,60.0,88.0,12.0,20.0,6.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII180458,San Gimignano,Casa di reclusione,243,20,312.0,17/06/2024,7,Ameglio,Mateo,Maria Grazia,Giampiccolo,Titolare,194.0,229.0,12.0,21.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181115,Siena,Casa circondariale,58,0,78.0,17/06/2024,SIENA,Ameglio,Mateo,Marco,Grasselli,Titolare,39.0,50.0,9.0,13.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181358,Spoleto,Casa di reclusione,456,18,443.0,17/06/2024,Umbria 2 - Spoleto,Simonetta,Antinarelli,Bernardina,Di Mario,Titolare,223.0,281.0,27.0,31.0,9.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172835,Cagliari Uta,Casa circondariale - Ettore Scalas,561,0,668.0,17/06/2024,ATS Sardegna,Luciano,Fei,Pietro,Borruto,Titolare,305.0,421.0,32.0,41.0,12.0,12.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII158910,Agrigento,Casa circondariale - Pasquale Di Lorenzo,283,6,372.0,17/06/2024,ASP 1 AGRIGENTO,GIUSEPPE,MANCUSO,Anna,Puci,Titolare,225.0,236.0,23.0,23.0,5.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177118,Lanusei,Casa circondariale - San Daniele,33,0,29.0,17/06/2024,ATS Sardegna ASSL Lanusei,Roberto,Marcialis,Maria Anna,Madeddu,Titolare,36.0,42.0,5.0,9.0,0.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179224,Nuoro,Casa circondariale,378,106,193.0,17/06/2024,Nuoro,Giovanni,Fancello,Maria Anna,Madeddu,Reggente,147.0,205.0,16.0,22.0,7.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172222,Barcellona Pozzo di Gotto,Casa circondariale - Vittorio Madia,414,114,204.0,17/06/2024,Messina,Tommaso,Bucca,Romina,Taiani,Titolare,135.0,166.0,26.0,26.0,8.0,7.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178003,Onanì,Casa di reclusione - Onanì-Mamone,292,108,129.0,17/06/2024,N. 3 Nuoro,Giovanni,Fancello,Vincenzo,Lamonaca,Titolare,86.0,116.0,12.0,24.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179274,Oristano,Casa di reclusione - Salvatore Soro,264,0,226.0,17/06/2024,n.5,Daniela,Faa,Elisa,Milanesi,Titolare,144.0,211.0,17.0,22.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181091,Sassari,Casa circondariale - Giovanni Bacchiddu,454,3,494.0,17/06/2024,ATS Sardegna,Giampiero,Carboni,Francesco,Cocco,Titolare,285.0,400.0,24.0,32.0,8.0,9.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181385,Tempio Pausania,Casa di reclusione - Paolo Pittalis,170,0,168.0,17/06/2024,TEMPIO/OLBIA 2,Manconi,Anna,Veronica,Proietti,Titolare,108.0,161.0,13.0,19.0,6.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178148,Messina,Casa circondariale,302,82,207.0,17/06/2024,,,,Angela,Sciavicco,Titolare,214.0,247.0,22.0,22.0,4.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179965,Ragusa,Casa circondariale,196,13,198.0,17/06/2024,7,giuseppe,cappello,Santo,Mortillaro,Titolare,77.0,91.0,18.0,18.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181109,Sciacca,Casa circondariale,73,53,23.0,17/06/2024,ASP N1 AGRIGENTO SCIACCA,Fabio,Segreto,Marilena,Scaravilli,Titolare,47.0,48.0,13.0,13.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178666,Napoli Poggioreale,Casa circondariale - Giuseppe Salvia,1624,266,2053.0,17/06/2024,Napoli 1,Vincenzo Maria,Irollo,Carlo,Berdini,Titolare,682.0,911.0,67.0,63.0,22.0,24.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178672,Napoli Secondigliano,Casa circondariale - Pasquale Mandato,1109,14,1382.0,17/06/2024,Napoli 1 centro,Francesco,Maffettone,Giulia,Russo,Titolare,1060.0,1080.0,57.0,56.0,19.0,18.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII180370,Roma Rebibbia Nuovo Complesso,Casa circondariale - Raffaele Cinotti,1170,113,1551.0,17/06/2024,RmB,Pierino,Cimino,Alessia,Rampazzi,Titolare,661.0,851.0,63.0,58.0,17.0,16.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172592,Brescia Canton Monbello,Casa circondariale - Nerio Fischione,182,0,377.0,17/06/2024,A.S.S.T. SPEDALI CIVILI,Fabio,Roda,Francesca Paola,Lucrezi,Titolare,175.0,227.0,16.0,30.0,7.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII158895,Milano San Vittore,Casa circondariale - Francesco Di Cataldo,708,250,1041.0,17/06/2024,Milano,Ruggiero,Giuliani,Giacinto,Siciliano,Titolare,551.0,780.0,33.0,45.0,13.0,14.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178501,Milano San Vittore femminile,Casa circondariale - Francesco Di Cataldo,46,3,82.0,17/06/2024,MILANO,Ruggero,Giuliani,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-06-20,,,,,,,,,,,
MII174825,Firenze Mario Gozzini,Casa circondariale,92,14,95.0,17/06/2024,10,Marco,Salvatori,Vincenzo,Tedeschi,Titolare,41.0,51.0,15.0,16.0,2.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179781,Perugia,Casa circondariale - Nuovo complesso penitenziario Capanne,363,40,472.0,17/06/2024,Umbria 1,Alessandro,Lucarini,Antonella,Grella,Titolare,199.0,248.0,23.0,27.0,5.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179932,Porto Azzurro,Casa di reclusione - Pasquale De Santis,334,31,303.0,17/06/2024,6 - Livorno,Federica,ONETTO,Martina,Carducci,Titolare,160.0,205.0,22.0,26.0,9.0,10.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181407,Terni,Casa circondariale,422,0,553.0,17/06/2024,Umbria n. 2,Antonio,Marozzo,Luca,Sardella,Titolare,192.0,241.0,28.0,25.0,7.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII180465,Sanremo,Casa di reclusione - Nuovo Complesso,223,2,245.0,17/06/2024,ASL N. 1 IMPERIESE,Rosella,Stagnaro,Maria Cristina,Marre' Brunenghi,Titolare,157.0,201.0,12.0,19.0,6.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII158944,Ancona Barcaglione,Casa di reclusione,100,0,95.0,17/06/2024,Ancona,Franco,Dolcini,,,,53.0,67.0,8.0,0.0,3.0,0.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII158941,Ancona Montacuto,Casa circondariale,256,0,330.0,17/06/2024,Asur Marche Area Vasta 2,Enrico,Boario,Manuela,Ceresani,Titolare,125.0,176.0,17.0,31.0,5.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172011,Avellino,Casa circondariale - Antimo Graziano Bellizzi,503,0,620.0,17/06/2024,Avellino,Carmine,Urciuoli,Rita,Romano,Titolare,282.0,297.0,27.0,34.0,8.0,10.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181392,Teramo,Casa circondariale,255,0,390.0,17/06/2024,Teramo,Massimo,Forlini,Lucia,Di Feliciantonio,Titolare,159.0,216.0,19.0,21.0,4.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177332,Latina,Casa circondariale,77,0,130.0,17/06/2024,LT Distretto 2,Antonio,Ciurleo,Pia Paola,Palmeri,Titolare,119.0,132.0,16.0,17.0,5.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181918,Vicenza,Casa circondariale - Filippo Del Papa,276,34,352.0,17/06/2024,N.8 Berica,Stefano,Tolio,Luciana,Traetta,Titolare,176.0,187.0,14.0,20.0,4.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178085,Massa,Casa di reclusione,174,6,218.0,17/06/2024,1,Anna,Santinami,Antonella,Venturi,Titolare,120.0,139.0,15.0,24.0,4.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178115,Massa Marittima,Casa circondariale,48,0,33.0,17/06/2024,Grosseto,Fabio,Falorni,Maria Cristina,Morrone,Titolare,28.0,37.0,8.0,14.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177420,Lecce,Casa circondariale - Nuovo Complesso,798,50,1228.0,17/06/2024,Lecce,Alessandra,Moscatello,Mariateresa,Susca,Titolare,592.0,581.0,47.0,44.0,13.0,13.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179830,Pescara,Casa circondariale,276,1,429.0,17/06/2024,PESCARA,Giulio,CALELLA,Armanda,Rossi,Titolare,116.0,167.0,27.0,22.0,8.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179945,Pozzuoli,Casa circondariale femminile,98,98,0.0,17/06/2024,ASL NA2 NORD,Biagio,Fulco,Giulia,Leone,Titolare,86.0,135.0,21.0,21.0,2.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177346,Laureana di Borrello,Casa di reclusione - Luigi Daga,37,0,50.0,17/06/2024,5,Antonio,Morabito Loprete,Caterina,Arrotta,Titolare,31.0,37.0,8.0,13.0,0.0,1.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181440,Trani femminile,Casa di reclusione,32,0,40.0,17/06/2024,Bat,Giuseppe,VITRANI,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-06-20,,,,,,,,,,,
MII159314,Augusta,Casa di reclusione,364,22,561.0,17/06/2024,Asp Asp n-8 Siracusa,Walter,Terranova,Angela,Lantieri,Titolare,163.0,251.0,24.0,29.0,9.0,9.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173006,Caltagirone,Casa circondariale,541,164,417.0,17/06/2024,Catania,Giovanni,Cavallaro,Giorgia Antonia,Gruttadauria,Titolare,169.0,201.0,23.0,23.0,7.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173259,Castelvetrano,Casa circondariale,44,0,69.0,17/06/2024,,,,Giulia,Bruno,Titolare,54.0,55.0,10.0,12.0,1.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173285,Catania Bicocca,Casa circondariale,136,1,202.0,17/06/2024,Catania,Alfio,Trovato,Giuseppe,Russo,Titolare,190.0,201.0,20.0,19.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173301,Catania Piazza Lanza,Casa circondariale,279,2,397.0,17/06/2024,ASP3,Maurizio,Mentesana,Nunziella,Di Fazio,Titolare,227.0,347.0,23.0,25.0,4.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173813,Enna,Casa circondariale - Luigi Bodenza,167,5,212.0,17/06/2024,ASP 4 ENNA,De Rose,Ezio,Gabriella,Di Franco,Titolare,100.0,113.0,16.0,18.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173994,Favignana,Casa di reclusione - Giuseppe Barraco,89,3,107.0,17/06/2024,,,,Angela,Russo,Titolare,58.0,81.0,11.0,14.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII176451,Gela,Casa circondariale,48,0,70.0,17/06/2024,Caltanissetta,Gabrielle,Roccia,Walter,Bressi,Titolare,56.0,52.0,9.0,11.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII176714,Giarre,Casa circondariale,58,1,75.0,17/06/2024,3,Sebastano,Russo,Francesca,Fioria,Reggente,36.0,34.0,12.0,12.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178681,Noto,Casa di reclusione - Attilio Bonincontro,176,0,146.0,17/06/2024,,,,Elisabetta,Zito,Titolare,71.0,88.0,22.0,19.0,5.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179324,Palermo Ucciardone,Casa di reclusione - Calogero Di Bona,569,50,507.0,17/06/2024,6,PIPPO,PULIAFITO,Fabio,Prestopino,Titolare,269.0,367.0,33.0,39.0,9.0,13.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179306,Palermo Pagliarelli,Casa circondariale - Antonio Lorusso,1164,9,1362.0,17/06/2024,Asp Palermo,Fabrizio,Scalici,Maria Luisa,Malato,Titolare,649.0,727.0,44.0,51.0,16.0,17.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179856,Piazza Armerina,Casa circondariale,49,1,70.0,17/06/2024,4 Enna,Serafino,Di Gregorio,Donata,Posante,Titolare,41.0,45.0,9.0,12.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII180451,San Cataldo,Casa di reclusione,135,0,105.0,17/06/2024,Caltanissetta - Non ancora attuato il passaggio dellassistenza sanitaria penitenziaria al Servizio sanitario nazionale,Maurizio,Grimaldi,Marilena,Lo Faro,Titolare,65.0,61.0,18.0,14.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181401,Termini Imerese,Casa circondariale - Antonino Burrafato,97,6,96.0,17/06/2024,ASP 6 Distretto 37,Antonino,Provenza,Carmen,Rosselli,Titolare,100.0,94.0,9.0,13.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181625,Trapani,Casa circondariale - Pietro Cerulli,555,58,491.0,17/06/2024,ASP N. 9,TIZIANA,SARDO,Margherita,Gennai,Titolare,246.0,300.0,25.0,25.0,7.0,7.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172332,Biella,Casa circondariale,394,4,345.0,17/06/2024,12,Erica,PIZZATO,Ignazio,Santoro,Titolare,163.0,207.0,16.0,26.0,9.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179876,Volterra,Casa di reclusione,189,0,183.0,17/06/2024,Toscana Nord Ovest,Lisa,Perugino,Valentina,Bruno,Titolare,66.0,83.0,15.0,19.0,4.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172208,Civitavecchia Nuovo Complesso,Casa circondariale,357,46,527.0,17/06/2024,RM 4,Pierluigi,Cervellini,Daniele,De Maggio,Titolare,228.0,282.0,22.0,35.0,9.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII177384,Lauro,Istituto custodia attenuata per madri,50,0,38.0,17/06/2024,Avellino,Giancarlo,Iaccheo,,,,0.0,0.0,5.0,0.0,1.0,0.0,,31/05/2024,2024-06-20,,,,,,,,,,,
MII181417,Tolmezzo,Casa circondariale,149,0,157.0,17/06/2024,n. 3 Alto Friuli - Collinare - medio Friuli,Sara,Mentil,Irene,Iannucci,Titolare,167.0,218.0,10.0,19.0,5.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173063,Caltanissetta,Casa circondariale,180,0,236.0,17/06/2024,Azienda Sanitaria Provinciale n. 2,Carmelo,Abate,Giovanna,Maltese Puccia,Titolare,146.0,148.0,18.0,20.0,3.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII158901,Belluno,Casa circondariale,90,7,102.0,17/06/2024,n.1 Belluno,Marco,Cristofoletti,Lara,Rampin,Titolare,80.0,95.0,8.0,14.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173341,Cosenza,Casa circondariale - Sergio Cosmai,220,4,277.0,17/06/2024,ASP CS,Gabriele,Scolati,Maria Luisa,Mendicino,Titolare,129.0,169.0,19.0,20.0,6.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII173265,Castrovillari,Casa circondariale - Rosa Sisca,122,0,164.0,17/06/2024,Cosenza,Francesco,Montilli,Giuseppe,Carra',Titolare,100.0,124.0,13.0,15.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178700,Novara,Casa circondariale,156,0,180.0,17/06/2024,Novara 13,Gianni,Valzer,Annamaria,Dello Preite,Titolare,153.0,195.0,10.0,16.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172344,Bollate,Casa di reclusione - IIª casa,1267,1,1455.0,17/06/2024,Milano,Roberto,Danese,Giorgio,Leggieri,Titolare,417.0,516.0,38.0,55.0,21.0,22.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181691,Vallo della Lucania,Casa circondariale - Alfredo Paragano,40,0,55.0,17/06/2024,A 3,Adamo,Maiese,Caterina,Sergio,Titolare,33.0,26.0,5.0,13.0,1.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII160204,Benevento,Casa circondariale - Michele Gaglione,261,11,427.0,17/06/2024,Benevento 1,Gennaro,Leone,Gianfranco,Marcello,Titolare,225.0,244.0,28.0,23.0,5.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181934,Viterbo,Casa circondariale  N.C.  - Nicandro Izzo,440,35,672.0,17/06/2024,Viterbo,Giulio,Starnini,Marco,Grasselli,Reggente,250.0,343.0,30.0,33.0,9.0,8.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172827,Bergamo,Casa circondariale,319,1,573.0,17/06/2024,Bergamo,Giampietro,Gregis,Antonina,D'Onofrio,Titolare,198.0,243.0,14.0,23.0,5.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII176771,Isili,Casa di reclusione,130,23,84.0,17/06/2024,8 CAGLIARI,Carlo,Trogu,Vincenzo,Lamonaca,Reggente,65.0,81.0,14.0,20.0,4.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII159060,Arienzo,Casa di reclusione - Gennaro De Angelis,58,2,96.0,17/06/2024,Caserta,Giuseppe,Nese,Annalaura,De Fusco,Titolare,47.0,49.0,11.0,13.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII152284,Genova Marassi,Casa circondariale,535,8,693.0,17/06/2024,ASL,Maurizio,Cechini,Tullia,Ardito,Titolare,328.0,381.0,27.0,35.0,10.0,10.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII176403,Forlì,Casa circondariale,144,12,152.0,17/06/2024,Romagna,Alfonso,Casadei,Carmela,De Lorenzo,Titolare,95.0,132.0,14.0,18.0,4.0,4.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII182339,Reggio Emilia,Istituti di pena - casa circondariale e di reclusione,292,58,281.0,17/06/2024,Reggio Emilia,Angela,Panebianco,Lucia,Monastero,Titolare,192.0,240.0,23.0,22.0,5.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII180001,Rimini,Casa circondariale,118,0,159.0,17/06/2024,Rimini,Stefano,Melandri,Palma,Mercurio,Titolare,113.0,150.0,13.0,17.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII174686,Ferrara,Casa circondariale - Costantino Satta,244,0,407.0,17/06/2024,ASL Ferrara,Fabio,Ferraresi,Maria Nicoletta,Toscani,Titolare,161.0,212.0,17.0,19.0,5.0,5.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179842,Piacenza,Casa circondariale - San Lazzaro,416,19,437.0,17/06/2024,Piacenza,Alberto,Gandolfi,Maria Gabriella,Lusi,Titolare,213.0,250.0,20.0,26.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII172508,Bologna,Casa circondariale - Rocco D'Amato,498,7,847.0,17/06/2024,Bologna,Raffaella,Campalastri,Rosa Alba,Casella,Titolare,421.0,541.0,27.0,35.0,10.0,10.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179981,Ravenna,Casa circondariale,49,0,79.0,17/06/2024,Romagna,Maurizio,Serra,Stefano,Di Lena,Titolare,66.0,83.0,17.0,14.0,5.0,3.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179364,Parma,Casa di reclusione,655,27,698.0,17/06/2024,PARMA,Choroma,FAISSAL,Valerio,Pappalardo,Titolare,355.0,462.0,2.0,0.0,0.0,0.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII178638,Modena,Casa circondariale,372,0,537.0,17/06/2024,MODENA,Stefano,Petrella,Orazio,Sorrentini,Titolare,210.0,257.0,22.0,27.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII181125,Siracusa,Casa circondariale,545,0,669.0,17/06/2024,,,,Aldo,Tiralongo,Titolare,229.0,250.0,22.0,27.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-20,,,,,,,,,,,
MII179988,Reggio Calabria Arghillà,Casa circondariale,294,0,353.0,17/06/2024,5 Reggio Calabria,Luciano,Lucania,Marianna,Stendardo,Titolare,133.0,160.0,12.0,32.0,5.0,8.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII172610,Brescia Verziano,Casa di reclusione,71,0,123.0,17/06/2024,Spedali Civili di Brescia,Luigi,Leone,,,,77.0,96.0,2.0,0.0,1.0,0.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII172320,Busto Arsizio,Casa circondariale,240,11,440.0,17/06/2024,Busto Arsizio,Ezia,Iorio,Maria,Pitaniello,Titolare,180.0,217.0,14.0,21.0,3.0,5.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII173712,Como,Casa circondariale,226,0,433.0,17/06/2024,Como,Giuseppe,Carrano,Fabrizio,Rinaldi,Titolare,181.0,236.0,15.0,23.0,3.0,6.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII173747,Cremona,Casa circondariale,394,10,577.0,17/06/2024,CREMONA,Rossano,Botto,Rossella,Padula,Titolare,169.0,223.0,16.0,23.0,6.0,6.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII177436,Lecco,Casa circondariale,53,0,71.0,17/06/2024,Ospedale Lecco,Vaira,Libera Maria,Luisa,Mattina,Titolare,37.0,42.0,6.0,14.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII178027,Lodi,Casa circondariale,45,0,81.0,17/06/2024,Lodi,Concettina,Varango,Annalaura,Confuorto,Titolare,42.0,45.0,11.0,13.0,3.0,2.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII178072,Mantova,Casa circondariale,97,3,148.0,17/06/2024,ASST Mantova,Laura,Mannarini,Metella Romana,Pasquini Peruzzi,Titolare,70.0,80.0,11.0,18.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII178659,Monza,Casa circondariale,411,1,696.0,17/06/2024,Monza,Libera Maria,Vaira,Cosima,Buccoliero,Titolare,277.0,321.0,20.0,29.0,6.0,8.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII179237,Opera,Casa di reclusione - Iª casa,918,11,1291.0,17/06/2024,Azienda Ospedaliera San Paolo Milano,Silvia,Cornalba,Silvio,Di Gregorio,Titolare,517.0,696.0,44.0,52.0,22.0,22.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII182910,Pavia,Casa circondariale,515,25,684.0,17/06/2024,A.S.S.T. Pavia - U.O. Sanità Penitenziaria,Davide,BROGLIA,Stefania,Mussio,Titolare,210.0,285.0,19.0,26.0,7.0,8.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII181346,Sondrio,Casa circondariale,26,0,28.0,17/06/2024,ASST Valtellina e Alto Lario,Marina,Casian,,,,29.0,28.0,2.0,11.0,1.0,1.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII181703,Varese,Casa circondariale,53,0,100.0,17/06/2024,Azienda Ospedaliera,Domenico,Capaccioni,Carla,Santandrea,Titolare,54.0,67.0,6.0,13.0,2.0,2.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII181924,Vigevano,Casa di reclusione,242,13,345.0,17/06/2024,PAVIA,Fabio,Canegalli,Rosalia,Marino,Titolare,200.0,240.0,14.0,22.0,6.0,7.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII179733,Voghera,Casa circondariale - Nuovo Complesso,341,0,367.0,17/06/2024,,,,Davide,Pisapia,Titolare,199.0,252.0,11.0,21.0,4.0,5.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII173311,Catanzaro,Casa circondariale - Ugo Caridi,682,47,654.0,17/06/2024,Azienda Sanitaria Provinciale di Catanzaro,Giulio,Di Mizio,Patrizia,Delfino,Titolare,356.0,470.0,32.0,37.0,10.0,10.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII173324,Crotone,Casa circondariale,99,0,142.0,17/06/2024,ASP 202,Giuseppe,Varrina,Mariastella,Fedele,Titolare,65.0,85.0,11.0,18.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII177996,Locri,Casa circondariale,86,0,134.0,17/06/2024,ASP 5 - Reggio Calabria,Severo,Gaetano,Valentina,Galati,Titolare,72.0,85.0,12.0,15.0,3.0,3.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
MII179342,Palmi,Casa circondariale - Filippo Salsone,141,0,179.0,17/06/2024,10,Agesilao,Luppino,Marianna,Stendardo,Reggente,106.0,145.0,13.0,18.0,4.0,4.0,31/05/2024,31/05/2024,2024-06-21,,,,,,,,,,,
