id istituto,nome istituto,tipo istituto,posti regolamentari,posti non disponibili,totale detenuti,polizia penitenziaria - effettivi,polizia penitenziaria - previsti,amministrativi - effettivi,amministrativi - previsti,educatori - effettivi,educatori - previsti,numero complessivo,numero non disponibili,doccia,bidet,portatori di handicap,servizi igienici con porta,accensione luce autonoma,prese elettriche,dati aggiornati al,personale polizia penitenziaria aggiornato al,personale amministrativo aggiornato al,data di aggiornamento spazi detentivi
MII178659,Monza,Casa circondariale,411,2,717,281,296,17,29,6,8,317.0,2.0,32.0,273.0,1.0,317.0,317.0,67.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII182910,Pavia,Casa circondariale,515,1,691,239,255,22,26,9,8,298.0,1.0,113.0,104.0,4.0,298.0,298.0,298.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181346,Sondrio,Casa circondariale,26,0,38,28,27,2,11,1,1,20.0,0.0,3.0,0.0,0.0,18.0,3.0,20.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181703,Varese,Casa circondariale,53,0,99,57,59,6,13,2,2,47.0,0.0,15.0,0.0,0.0,47.0,47.0,1.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179733,Voghera,Casa circondariale - Nuovo Complesso,341,0,346,201,231,12,21,4,5,190.0,0.0,84.0,179.0,4.0,190.0,73.0,186.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173311,Catanzaro,Casa circondariale - Ugo Caridi,682,56,637,385,415,30,38,9,10,392.0,30.0,208.0,23.0,22.0,391.0,208.0,392.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173324,Crotone,Casa circondariale,99,4,119,70,75,11,18,3,3,33.0,1.0,33.0,0.0,2.0,33.0,33.0,33.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179342,Palmi,Casa circondariale - Filippo Salsone,141,0,174,112,131,12,18,4,4,54.0,0.0,37.0,0.0,0.0,54.0,53.0,54.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179353,Paola,Casa circondariale,181,27,185,106,112,17,19,4,4,161.0,12.0,156.0,3.0,0.0,161.0,159.0,161.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180415,Rossano,Casa di reclusione - Nuovo Complesso,263,0,318,109,139,20,23,7,6,142.0,0.0,136.0,46.0,0.0,142.0,142.0,142.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181908,Vibo Valentia,Casa circondariale - Nuovo Complesso,406,14,397,192,224,24,26,6,6,154.0,7.0,121.0,8.0,0.0,154.0,154.0,154.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII159053,Ariano Irpino,Casa circondariale - Pasquale Campanello,276,16,319,145,165,14,21,4,5,133.0,9.0,121.0,64.0,4.0,133.0,81.0,125.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172187,Aversa,Casa di reclusione - Filippo Saporito,254,20,258,136,105,28,25,5,7,90.0,6.0,82.0,65.0,3.0,90.0,41.0,28.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173101,Carinola,Casa di reclusione - Gian Battista Novelli,562,28,492,167,179,26,29,6,7,280.0,26.0,140.0,139.0,6.0,164.0,279.0,137.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173784,Eboli,Casa di reclusione,54,0,45,27,24,10,14,0,3,9.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172580,Bolzano,Casa circondariale,88,3,110,61,77,5,20,1,4,31.0,2.0,1.0,0.0,0.0,19.0,5.0,30.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176719,Gorizia,Casa circondariale - Angiolo Bigazzi,53,0,73,48,54,5,12,1,2,17.0,0.0,17.0,16.0,0.0,17.0,17.0,17.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179290,Padova,Casa circondariale,188,4,219,128,142,15,19,3,3,68.0,2.0,68.0,68.0,3.0,68.0,68.0,68.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180487,Santa Maria Capua Vetere,Casa circondariale - Francesco Uccella,818,125,993,446,460,44,43,12,13,404.0,65.0,339.0,295.0,8.0,404.0,404.0,244.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179913,Pordenone,Casa circondariale,37,0,50,44,53,10,13,2,2,14.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180424,Rovigo,Casa circondariale,211,6,240,132,175,13,19,4,4,113.0,6.0,109.0,109.0,6.0,113.0,113.0,109.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII159065,Ascoli Piceno,Casa circondariale,103,4,130,145,152,17,16,3,3,65.0,3.0,19.0,59.0,0.0,63.0,4.0,13.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173237,Castelfranco Emilia,Casa di reclusione,191,43,101,66,62,14,16,3,3,57.0,13.0,45.0,34.0,2.0,57.0,57.0,45.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII174501,Fermo,Casa di reclusione,43,0,54,49,50,11,15,2,3,22.0,0.0,0.0,22.0,0.0,11.0,0.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181645,Treviso,Casa circondariale,138,12,236,136,149,13,17,2,3,63.0,4.0,6.0,5.0,0.0,62.0,5.0,6.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176424,Fossombrone,Casa di reclusione,182,81,88,99,129,17,19,5,6,123.0,81.0,42.0,0.0,1.0,33.0,34.0,122.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181661,Trieste,Casa circondariale - Ernesto Mari,150,4,265,124,149,21,20,6,5,64.0,4.0,5.0,39.0,0.0,48.0,7.0,64.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181672,Udine,Casa circondariale - Antonio Santoro,95,0,183,90,112,14,17,4,4,62.0,0.0,60.0,60.0,1.0,62.0,62.0,60.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179818,Pesaro,Casa circondariale,153,1,256,144,154,16,18,4,4,124.0,1.0,4.0,12.0,0.0,124.0,5.0,5.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181863,Venezia Santa Maria Maggiore,Casa circondariale,159,0,267,147,149,17,18,5,5,86.0,0.0,86.0,86.0,0.0,86.0,86.0,86.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181847,Venezia Giudecca,Casa di reclusione femminile,112,0,95,110,135,14,20,5,4,28.0,0.0,16.0,28.0,0.0,28.0,9.0,14.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181891,Verona,Casa circondariale - Montorio,335,17,601,319,317,19,27,4,5,308.0,15.0,89.0,281.0,2.0,308.0,1.0,1.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII182440,Avezzano,Casa circondariale,53,2,76,32,39,9,12,2,2,33.0,2.0,33.0,1.0,0.0,33.0,33.0,33.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173088,Campobasso,Casa circondariale,106,10,171,92,105,8,14,2,3,73.0,7.0,45.0,60.0,1.0,73.0,73.0,73.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII157783,Alba,Casa di reclusione - Giuseppe Montalto,138,89,42,88,107,10,14,3,3,112.0,86.0,22.0,112.0,1.0,112.0,22.0,22.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173114,Cassino,Casa circondariale,200,73,213,107,142,19,18,4,3,118.0,70.0,22.0,108.0,0.0,118.0,118.0,118.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173364,Chieti,Casa circondariale,79,0,125,84,80,15,15,4,3,33.0,0.0,33.0,6.0,1.0,33.0,33.0,4.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII159069,Asti,Casa di reclusione,205,2,251,159,167,14,22,7,7,190.0,2.0,0.0,190.0,0.0,190.0,179.0,190.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173688,Civitavecchia Giuseppe Passerini,Casa di reclusione,144,52,86,41,53,7,0,0,0,60.0,16.0,40.0,50.0,0.0,60.0,60.0,60.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173356,Chiavari,Casa di reclusione,52,0,63,48,48,10,13,3,2,23.0,0.0,22.0,3.0,1.0,23.0,23.0,23.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176437,Frosinone,Casa circondariale - Giuseppe Pagliei,517,33,588,239,280,24,30,5,8,334.0,31.0,84.0,330.0,4.0,334.0,334.0,70.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173764,Cuneo,Casa circondariale,433,57,405,172,206,13,22,6,5,218.0,50.0,191.0,1.0,6.0,218.0,193.0,193.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181636,Trento,Casa circondariale - Spini di Gardolo,422,4,366,173,199,20,27,8,8,170.0,2.0,170.0,170.0,13.0,170.0,170.0,163.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172814,Brissogne - Aosta,Casa circondariale,181,6,143,116,138,6,15,2,3,167.0,6.0,48.0,23.0,0.0,167.0,161.0,167.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176759,Isernia,Casa circondariale,50,0,72,42,36,12,10,3,2,28.0,0.0,8.0,28.0,0.0,28.0,28.0,28.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176703,Genova Pontedecimo,Casa circondariale,96,11,140,132,143,12,16,3,3,96.0,11.0,96.0,96.0,2.0,96.0,96.0,53.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII177323,Larino,Casa circondariale,119,0,123,114,127,13,16,3,3,106.0,0.0,53.0,0.0,0.0,106.0,9.0,4.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176749,Imperia,Casa circondariale,53,1,71,51,58,13,13,3,2,41.0,1.0,41.0,3.0,1.0,41.0,41.0,41.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176781,Ivrea,Casa circondariale,195,7,259,175,176,13,20,4,4,189.0,7.0,0.0,0.0,1.0,189.0,188.0,15.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179331,Paliano,Casa di reclusione,153,1,66,62,66,16,14,2,2,57.0,1.0,46.0,11.0,0.0,57.0,55.0,56.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176788,La Spezia,Casa circondariale,151,48,128,113,133,10,17,2,3,92.0,48.0,92.0,6.0,0.0,92.0,92.0,92.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII169535,Rieti,Casa circondariale - Nuovo Complesso,295,24,516,137,175,22,23,5,6,157.0,9.0,157.0,157.0,0.0,157.0,157.0,157.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180401,Roma Regina Coeli,Casa circondariale,628,58,1106,347,480,33,48,7,11,323.0,32.0,150.0,1.0,0.0,323.0,320.0,323.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180437,Saluzzo,Casa di reclusione - Rodolfo Morandi,424,0,352,180,206,16,24,9,7,275.0,0.0,66.0,204.0,4.0,275.0,270.0,98.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180380,Roma Rebibbia,Casa di reclusione,445,149,304,136,189,22,29,6,8,381.0,110.0,61.0,58.0,0.0,60.0,381.0,381.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180356,Roma Rebibbia IIIª casa,Casa circondariale,172,40,80,31,46,16,15,3,3,43.0,10.0,43.0,0.0,0.0,43.0,43.0,43.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180348,Roma Rebibbia femminile,Casa circondariale - Germana Stefanini,272,7,367,188,214,24,26,6,7,171.0,7.0,94.0,87.0,8.0,132.0,171.0,169.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181870,Verbania,Casa circondariale,53,0,80,43,44,5,13,1,2,37.0,0.0,34.0,5.0,1.0,37.0,37.0,35.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179299,Padova Nuovo Complesso,Casa di reclusione,438,63,549,320,336,27,30,11,11,386.0,57.0,48.0,0.0,2.0,386.0,0.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181371,Sulmona,Casa di reclusione,323,8,442,237,255,24,31,7,8,299.0,2.0,15.0,290.0,0.0,299.0,299.0,9.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181820,Vasto,Casa di lavoro,197,50,101,68,95,15,19,4,5,98.0,28.0,15.0,85.0,1.0,98.0,98.0,93.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181839,Velletri,Casa circondariale,412,75,501,212,275,26,32,7,8,276.0,43.0,76.0,265.0,5.0,276.0,206.0,69.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181424,Torino,Casa circondariale - Lorusso Cutugno,1117,24,1452,693,762,48,55,17,18,936.0,24.0,14.0,90.0,7.0,936.0,936.0,902.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158919,"Alessandria Cantiello, Gaeta",Casa circondariale,233,23,216,129,127,13,34,3,10,75.0,10.0,5.0,74.0,0.0,75.0,75.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179995,Reggio Calabria Giuseppe Panzera,Casa circondariale,180,8,204,154,145,25,0,4,0,85.0,6.0,81.0,14.0,1.0,85.0,85.0,80.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158924,Alessandria San Michele,Casa di reclusione,265,1,365,178,210,14,0,6,0,241.0,1.0,7.0,63.0,0.0,241.0,241.0,241.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172277,Altamura,Casa di reclusione,52,1,79,41,0,6,0,1,0,51.0,1.0,1.0,51.0,0.0,51.0,0.0,51.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158948,Arezzo,Casa circondariale,108,84,43,32,38,13,15,3,3,57.0,37.0,9.0,3.0,1.0,56.0,57.0,54.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181678,Bari,Casa circondariale - Francesco Rucci,294,45,427,234,258,24,26,4,5,165.0,31.0,142.0,76.0,17.0,143.0,163.0,164.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII174720,Firenze Sollicciano,Casa circondariale,497,136,530,435,416,27,34,10,11,358.0,102.0,62.0,29.0,0.0,358.0,345.0,351.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172623,Brindisi,Casa circondariale,152,33,197,128,141,21,18,5,5,72.0,11.0,62.0,26.0,2.0,72.0,72.0,72.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176743,Grosseto,Casa circondariale,15,0,31,32,30,10,12,1,1,9.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176375,Foggia,Casa circondariale,364,19,702,233,244,31,29,8,7,213.0,9.0,71.0,13.0,1.0,198.0,7.0,211.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII177498,Livorno Gorgona,Casa di reclusione,89,0,85,0,0,6,0,1,0,55.0,0.0,55.0,0.0,0.0,55.0,55.0,55.0,2024-11-02,,2024-09-30,2024-11-02
MII177463,Livorno,Casa circondariale,391,211,243,250,268,22,35,9,9,296.0,179.0,78.0,83.0,4.0,230.0,230.0,43.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178035,Lucca,Casa circondariale,63,22,83,71,91,13,14,2,2,59.0,18.0,5.0,7.0,4.0,59.0,59.0,8.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178124,Matera,Casa circondariale,132,6,194,97,125,16,15,5,3,49.0,2.0,49.0,49.0,0.0,49.0,49.0,49.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178141,Melfi,Casa circondariale,126,0,184,131,151,8,16,2,3,122.0,0.0,14.0,109.0,0.0,122.0,122.0,1.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179938,Potenza,Casa circondariale - Antonio Santoro,110,58,97,106,111,16,17,4,3,88.0,38.0,49.0,10.0,0.0,70.0,88.0,50.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179280,Orvieto,Casa di reclusione,98,0,124,56,57,22,21,6,5,35.0,0.0,33.0,0.0,0.0,35.0,10.0,35.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180476,San Severo,Casa circondariale,61,0,74,45,60,8,10,3,2,38.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181434,Trani,Casa circondariale,447,146,393,201,237,27,26,6,6,202.0,88.0,114.0,94.0,7.0,146.0,114.0,202.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII182919,Pisa,Casa circondariale,197,18,283,180,184,20,20,4,4,153.0,10.0,28.0,114.0,2.0,85.0,121.0,149.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181681,Turi,Casa di reclusione,108,0,161,83,90,14,14,0,2,42.0,0.0,3.0,1.0,1.0,42.0,42.0,42.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179896,Pistoia,Casa circondariale,76,0,74,53,65,13,14,4,3,48.0,0.0,0.0,0.0,0.0,37.0,47.0,18.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158935,Alghero,Casa di reclusione - Giuseppe Tomasiello,156,0,84,70,79,13,16,4,4,62.0,0.0,62.0,0.0,0.0,62.0,62.0,62.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179958,Prato,Casa circondariale,589,3,591,247,270,28,35,8,9,299.0,3.0,25.0,249.0,0.0,299.0,0.0,23.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158945,Arbus,Casa di reclusione - località Is Arenas,176,50,88,66,81,13,20,6,5,40.0,10.0,40.0,0.0,0.0,40.0,40.0,40.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180458,San Gimignano,Casa di reclusione,243,20,327,189,205,12,21,5,6,231.0,20.0,0.0,4.0,0.0,231.0,231.0,204.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181115,Siena,Casa circondariale,58,0,73,43,41,9,13,2,2,39.0,0.0,1.0,4.0,0.0,39.0,39.0,1.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181358,Spoleto,Casa di reclusione,456,6,457,250,273,30,32,9,8,403.0,6.0,130.0,1.0,2.0,403.0,403.0,320.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172835,Cagliari Uta,Casa circondariale - Ettore Scalas,561,0,750,317,394,32,41,12,12,282.0,0.0,278.0,22.0,26.0,282.0,282.0,282.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158910,Agrigento,Casa circondariale - Pasquale Di Lorenzo,283,20,383,219,197,21,23,5,5,247.0,18.0,192.0,42.0,0.0,247.0,228.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII177118,Lanusei,Casa circondariale - San Daniele,33,0,28,36,31,5,9,0,2,14.0,0.0,14.0,0.0,0.0,14.0,11.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179224,Nuoro,Casa circondariale,378,107,190,158,191,18,23,7,5,154.0,60.0,101.0,55.0,3.0,154.0,101.0,96.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172222,Barcellona Pozzo di Gotto,Casa circondariale - Vittorio Madia,387,78,200,148,169,27,26,8,7,128.0,39.0,84.0,72.0,5.0,98.0,78.0,128.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178003,Onanì,Casa di reclusione - Onanì-Mamone,292,122,118,94,119,16,24,8,6,64.0,23.0,57.0,2.0,0.0,64.0,57.0,57.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179274,Oristano,Casa di reclusione - Salvatore Soro,264,0,238,157,188,18,22,6,6,138.0,0.0,138.0,9.0,6.0,138.0,138.0,132.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181385,Tempio Pausania,Casa di reclusione - Paolo Pittalis,170,0,171,104,146,14,19,6,5,90.0,0.0,90.0,18.0,4.0,90.0,90.0,90.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179965,Ragusa,Casa circondariale,196,13,200,69,84,18,18,3,3,66.0,9.0,54.0,3.0,2.0,56.0,66.0,66.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181109,Sciacca,Casa circondariale,73,53,21,45,44,12,13,2,2,25.0,16.0,24.0,0.0,0.0,22.0,10.0,23.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178666,Napoli Poggioreale,Casa circondariale - Giuseppe Salvia,1624,266,2176,679,828,68,63,21,24,598.0,113.0,348.0,142.0,12.0,536.0,536.0,529.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178672,Napoli Secondigliano,Casa circondariale - Pasquale Mandato,1142,13,1482,1115,951,63,57,22,18,844.0,13.0,251.0,243.0,8.0,840.0,724.0,844.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172592,Brescia Canton Monbello,Casa circondariale - Nerio Fischione,182,0,378,184,197,21,30,9,8,100.0,0.0,91.0,0.0,0.0,100.0,100.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158895,Milano San Vittore,Casa circondariale - Francesco Di Cataldo,702,230,1058,562,655,37,45,13,14,492.0,176.0,272.0,184.0,0.0,327.0,325.0,325.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178501,Milano San Vittore femminile,Casa circondariale - Francesco Di Cataldo,46,1,83,0,0,0,0,0,0,40.0,1.0,3.0,2.0,0.0,40.0,40.0,40.0,2024-11-02,,,2024-11-02
MII174825,Firenze Mario Gozzini,Casa circondariale,91,14,104,46,50,15,16,2,3,51.0,8.0,0.0,0.0,0.0,51.0,9.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179932,Porto Azzurro,Casa di reclusione - Pasquale De Santis,334,13,319,159,205,24,26,11,10,306.0,10.0,118.0,13.0,0.0,285.0,306.0,306.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181407,Terni,Casa circondariale,422,0,565,202,243,29,26,7,6,281.0,0.0,70.0,201.0,4.0,281.0,281.0,71.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180465,Sanremo,Casa di reclusione - Nuovo Complesso,223,2,266,163,185,12,19,6,5,109.0,2.0,68.0,99.0,0.0,109.0,109.0,10.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158944,Ancona Barcaglione,Casa di reclusione,100,0,97,59,60,7,0,3,0,98.0,0.0,24.0,0.0,0.0,98.0,98.0,98.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII158941,Ancona Montacuto,Casa circondariale,256,0,341,125,175,21,31,5,8,111.0,0.0,102.0,98.0,3.0,111.0,101.0,101.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172011,Avellino,Casa circondariale - Antimo Graziano Bellizzi,500,24,540,291,263,29,35,9,10,211.0,12.0,187.0,61.0,3.0,210.0,82.0,84.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181392,Teramo,Casa circondariale,255,1,376,169,206,19,21,4,5,239.0,1.0,11.0,26.0,1.0,239.0,5.0,4.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181918,Vicenza,Casa circondariale - Filippo Del Papa,276,28,372,179,194,14,20,4,3,204.0,26.0,204.0,196.0,4.0,204.0,204.0,179.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178085,Massa,Casa di reclusione,174,6,234,119,130,16,24,4,5,109.0,4.0,108.0,98.0,8.0,109.0,109.0,109.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178115,Massa Marittima,Casa circondariale,48,0,47,27,36,9,14,2,2,24.0,0.0,24.0,24.0,0.0,24.0,24.0,24.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII177420,Lecce,Casa circondariale - Nuovo Complesso,798,57,1195,590,572,46,44,13,13,654.0,54.0,81.0,654.0,8.0,654.0,654.0,653.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179830,Pescara,Casa circondariale,276,4,459,122,166,27,22,8,6,110.0,2.0,105.0,15.0,2.0,110.0,110.0,109.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII179945,Pozzuoli,Casa circondariale femminile,98,98,0,11,119,5,21,0,4,29.0,29.0,29.0,29.0,0.0,29.0,9.0,29.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII177346,Laureana di Borrello,Casa di reclusione - Luigi Daga,37,0,54,31,37,9,13,0,1,37.0,0.0,37.0,37.0,0.0,37.0,37.0,37.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181440,Trani femminile,Casa di reclusione,32,0,39,0,0,0,0,0,0,19.0,0.0,0.0,19.0,0.0,19.0,19.0,0.0,2024-11-02,,,2024-11-02
MII159314,Augusta,Casa di reclusione,364,22,557,175,224,27,29,9,9,339.0,22.0,75.0,0.0,3.0,339.0,25.0,339.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173006,Caltagirone,Casa circondariale,541,164,424,173,197,22,24,7,6,215.0,70.0,186.0,70.0,0.0,215.0,215.0,195.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173259,Castelvetrano,Casa circondariale,44,0,71,56,50,10,12,1,2,40.0,0.0,25.0,0.0,0.0,40.0,2.0,2.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173301,Catania Piazza Lanza,Casa circondariale,279,1,424,248,268,23,25,4,5,106.0,1.0,94.0,35.0,2.0,106.0,51.0,106.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173813,Enna,Casa circondariale - Luigi Bodenza,167,5,202,97,97,16,18,3,3,79.0,2.0,39.0,0.0,2.0,79.0,78.0,78.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII173994,Favignana,Casa di reclusione - Giuseppe Barraco,89,0,88,59,79,11,14,3,3,33.0,0.0,33.0,0.0,2.0,33.0,33.0,33.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176451,Gela,Casa circondariale,48,0,65,48,46,9,11,2,2,48.0,0.0,48.0,48.0,0.0,48.0,1.0,46.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII176714,Giarre,Casa circondariale,58,0,74,39,40,11,12,2,2,58.0,0.0,58.0,0.0,0.0,58.0,0.0,0.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII178681,Noto,Casa di reclusione - Attilio Bonincontro,176,0,145,73,89,22,19,5,5,98.0,0.0,98.0,0.0,0.0,98.0,98.0,98.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII180451,San Cataldo,Casa di reclusione,135,1,101,63,59,18,14,2,2,21.0,1.0,21.0,0.0,1.0,1.0,9.0,21.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181401,Termini Imerese,Casa circondariale - Antonino Burrafato,95,0,104,97,80,9,13,2,2,51.0,0.0,42.0,1.0,1.0,42.0,35.0,51.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII181625,Trapani,Casa circondariale - Pietro Cerulli,555,58,537,242,266,25,27,7,7,233.0,32.0,159.0,71.0,10.0,205.0,165.0,187.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
MII172332,Biella,Casa circondariale,394,4,465,175,210,15,27,9,8,258.0,2.0,70.0,195.0,4.0,258.0,258.0,70.0,2024-11-02,2024-09-30,2024-09-30,2024-11-02
